tweet,tweet_clean,label
"bilang,beruntung,ribuan,warga,mati,terdaftar,korban,covid,untung,rugi,pemerintah,menolak,bantuan,lock,dipilih,psbb,jokowi,beruntung,pilih,psbb,lockdown","bilang,beruntung,ribuan,warga,mati,terdaftar,korban,covid,untung,rugi,pemerintah,menolak,bantuan,lock,dipilih,psbb,jokowi,beruntung,pilih,psbb,lockdown",negative
"ambisi,kota,oke,knockdown,oke,lihat,grafik,covid,turun,turun,menteri,herd,immunity,jahat,pemerintah,sadis,komunis,republik,rakyat,cina,berperikemanusiaan,lock,rakyat,tertular,seenak,pusarnya,herd,immunity,psbb,gagal","ambisi,kota,oke,knockdown,oke,lihat,grafik,covid,turun,turun,menteri,herd,immunity,jahat,pemerintah,sadis,komunis,republik,rakyat,cina,berperikemanusiaan,lock,rakyat,tertular,seenak,pusarnya,herd,immunity,psbb,gagal",negative
"sisi,pemerintah,pembaruan,covid,bertambah,sisi,pemerintah,bikin,kbijakan,penerapan,anomali,tau,kah,au,bingung,au,putuskan,hidup,normal","sisi,pemerintah,pembaruan,covid,bertambah,sisi,pemerintah,bikin,kbijakan,penerapan,anomali,tau,kah,au,bingung,au,putuskan,hidup,normal",positive
"fase,muak,membaca,mendengar,fcking,covid,ditambah,carut,marutnya,pemerintah,sinkron,solusi,terbaik,menutup,info,masuk,fokus,planning,best,berpikir,mudik","fase,muak,membaca,mendengar,fcking,covid,ditambah,carut,marutnya,pemerintah,sinkron,solusi,terbaik,menutup,info,masuk,fokus,planning,best,berpikir,mudik",positive
"ujung,ujungnya,duit,sependapat,kalimat,pemerintah,memiliki,grand,design,penanganan,pandemik,covid,implikasinya,bersifat,relatif,terukur,nihil,target,pencapaian,pas","ujung,ujungnya,duit,sependapat,kalimat,pemerintah,memiliki,grand,design,penanganan,pandemik,covid,implikasinya,bersifat,relatif,terukur,nihil,target,pencapaian,pas",positive
"happy,vesakh,day,sehubungan,himbauan,pemerintah,covid,menerima,tamu","happy,vesakh,day,sehubungan,himbauan,pemerintah,covid,menerima,tamu",positive
"mangtaf,era,guru,kencing,beradab,nya,beradab,bencana,nas,korup,dead,penalti,titik,percayaken,kebijaksanaan,negara,bantu,pemerintah,mengatasi,covid,mengerahken,sumber,daya,segenap,kemampuan,anak,bangsa","mangtaf,era,guru,kencing,beradab,nya,beradab,bencana,nas,korup,dead,penalti,titik,percayaken,kebijaksanaan,negara,bantu,pemerintah,mengatasi,covid,mengerahken,sumber,daya,segenap,kemampuan,anak,bangsa",negative
"disiplin,menerapkan,aturan,kehidupan,sehari,pemerintah,kebijakan,juni,kurva,covid,indonesia,menurun,agustus,normal,sediakala","disiplin,menerapkan,aturan,kehidupan,sehari,pemerintah,kebijakan,juni,kurva,covid,indonesia,menurun,agustus,normal,sediakala",positive
"maaf,rakyat,kasih,peraturan,abu,abu,pemilihan,pilih,kali,kecewa,pemimpin,sempurna,pemerintah,covid,kurva,turun,ekonomi,normal,membela,kekebasan,beragama,minoritas","maaf,rakyat,kasih,peraturan,abu,abu,pemilihan,pilih,kali,kecewa,pemimpin,sempurna,pemerintah,covid,kurva,turun,ekonomi,normal,membela,kekebasan,beragama,minoritas",positive
"covid,teori,konspirasi,ulah,elite,global,menuntut,pemerintah,kegiatan,berjalan,normal,menyepelekan,covid","covid,teori,konspirasi,ulah,elite,global,menuntut,pemerintah,kegiatan,berjalan,normal,menyepelekan,covid",positive
"lock,psbb,alasannya,pemerintah,lepas,tanggung,kebutuhan,masyarakat,terdampak,akibat,penyebaran,covid,salah,mohon,coreksi","lock,psbb,alasannya,pemerintah,lepas,tanggung,kebutuhan,masyarakat,terdampak,akibat,penyebaran,covid,salah,mohon,coreksi",negative
"berdamai,covid,pemerintah,maunya,damai,covid,pelan,pelan,normal,angka,langkah,perdamaiannya","berdamai,covid,pemerintah,maunya,damai,covid,pelan,pelan,normal,angka,langkah,perdamaiannya",positive
"new,post,lion,air,grup,terbang,covid,pemerintah,mencla,mencle,berdaya,taipan","new,post,lion,air,grup,terbang,covid,pemerintah,mencla,mencle,berdaya,taipan",positive
"tertular,covid,sayang,nyawa,mati,cepat,sih,silakan,berpergian,tertular,menularkan,keluarga,tetangga,clear,pemerintah,salah,masyarakatnya,pikir,kebaikan","tertular,covid,sayang,nyawa,mati,cepat,sih,silakan,berpergian,tertular,menularkan,keluarga,tetangga,clear,pemerintah,salah,masyarakatnya,pikir,kebaikan",positive
"ya,bro,pas,live,sih,jrx,berbicara,united,state,america,blowup,covid,mala,bagus,mala,menyebar,ketakutan,bahaya,ketakutan,berlebih,beraktivitas,ikuti,protokol,pemerintah,sih,styapramana,post,menonton","ya,bro,pas,live,sih,jrx,berbicara,united,state,america,blowup,covid,mala,bagus,mala,menyebar,ketakutan,bahaya,ketakutan,berlebih,beraktivitas,ikuti,protokol,pemerintah,sih,styapramana,post,menonton",positive
"kadang,kesal,sedih,baca,berita,kebijakan,pemerintah,nolong,covid,cepat,selesai,psbb,diudahin,transportasi,dibuka,normal,ditambah,ramai,orang,ngumpul","kadang,kesal,sedih,baca,berita,kebijakan,pemerintah,nolong,covid,cepat,selesai,psbb,diudahin,transportasi,dibuka,normal,ditambah,ramai,orang,ngumpul",positive
"nissan,indonesia,berpartisipasi,mendukung,pemerintah,melawan,pandemi,covid,meminjamkan,unit,nissan,terra,new,livina,kendaraan,operasional,logistik,relawan,gugus,tugas,percepatan,penanganan,covid","nissan,indonesia,berpartisipasi,mendukung,pemerintah,melawan,pandemi,covid,meminjamkan,unit,nissan,terra,new,livina,kendaraan,operasional,logistik,relawan,gugus,tugas,percepatan,penanganan,covid",positive
"ketua,hms,center,hardjuno,wiwoho,pemerintah,keras,bantuan,sosial,disalurkan,dialokasikan,menyentuh,masyarakat,miskin,terdampak,covid,covid","ketua,hms,center,hardjuno,wiwoho,pemerintah,keras,bantuan,sosial,disalurkan,dialokasikan,menyentuh,masyarakat,miskin,terdampak,covid,covid",negative
"live,juru,bicara,pemerintah,penanganan,covid,achmad,yurianto,perkembangan,penanganan,covid,kamis,mei,dengerinelshintadirumahaja","live,juru,bicara,pemerintah,penanganan,covid,achmad,yurianto,perkembangan,penanganan,covid,kamis,mei,dengerinelshintadirumahaja",positive
"menteri,py,ego,bidang,komunikasi,pemerintah,jalan,baiknya,kebijakan,sektor,satuan,tugas,penanganan,covid,normal,peluang,hoaks,miskom,kebingungan,masyarakat","menteri,py,ego,bidang,komunikasi,pemerintah,jalan,baiknya,kebijakan,sektor,satuan,tugas,penanganan,covid,normal,peluang,hoaks,miskom,kebingungan,masyarakat",positive
"live,laporan,kamis,mei,ops,ketupat,lodaya,sesuai,anjuran,pemerintah,mudik,nya,tunda,rumah,jaga,kesehatan,mari,putus,rantai,penyebaran,covid","live,laporan,kamis,mei,ops,ketupat,lodaya,sesuai,anjuran,pemerintah,mudik,nya,tunda,rumah,jaga,kesehatan,mari,putus,rantai,penyebaran,covid",positive
"pemerintah,menyediakan,bantuan,dampak,covid,tenaga,kerja,indonesia,legal,lingkarjatim","pemerintah,menyediakan,bantuan,dampak,covid,tenaga,kerja,indonesia,legal,lingkarjatim",positive
"psbb,safety,life,pikir,psbb,pemerintah,bikin,bawa,perasaan,covid,safety,main,keluarwassalam","psbb,safety,life,pikir,psbb,pemerintah,bikin,bawa,perasaan,covid,safety,main,keluarwassalam",positive
"lucky,bu,sri,mulyani,bobroknya,pemerintah,manage,ekonomi,terbantu,tertutupi,covid","lucky,bu,sri,mulyani,bobroknya,pemerintah,manage,ekonomi,terbantu,tertutupi,covid",positive
"prediksi,covid,oktober,rakyat,tahan,realita,kebijakan,pemerintah,mencla,mencle,haha","prediksi,covid,oktober,rakyat,tahan,realita,kebijakan,pemerintah,mencla,mencle,haha",positive
"sms,majelis,permusyawaratan,rakyat,peduli,mengajak,donasi,covid,serious,lembaga,pemerintah,bantuan,rakyat,rakyat,menerima,bantuan,langsung,pemerintah,alih,alih,mengajak,donasi,rakyat,mengatasnamakan,bantuan,pemerintah,rakyat","sms,majelis,permusyawaratan,rakyat,peduli,mengajak,donasi,covid,serious,lembaga,pemerintah,bantuan,rakyat,rakyat,menerima,bantuan,langsung,pemerintah,alih,alih,mengajak,donasi,rakyat,mengatasnamakan,bantuan,pemerintah,rakyat",negative
"ekonom,center,reformasi,ekonomi,core,indonesia,muhammad,ishak,razak,pemerintah,mengurangi,beban,pengeluaran,masyarakat,miskin,miskin,pandemi,covid,via,antaranews","ekonom,center,reformasi,ekonomi,core,indonesia,muhammad,ishak,razak,pemerintah,mengurangi,beban,pengeluaran,masyarakat,miskin,miskin,pandemi,covid,via,antaranews",negative
"psbb,transportasi,dibolehin,bantuan,pemerintah,merata,dijamin,diam,rumah,doang,leyeh,leyeh,keangkuhan,covid,gbakal,masuk,indonesia,sekrg,pas,kelabakan,lihat,negara,enjoy,ikutan,enjoy","psbb,transportasi,dibolehin,bantuan,pemerintah,merata,dijamin,diam,rumah,doang,leyeh,leyeh,keangkuhan,covid,gbakal,masuk,indonesia,sekrg,pas,kelabakan,lihat,negara,enjoy,ikutan,enjoy",positive
"kementerian,perhubungan,mengoperasikan,moda,transportasi,angkutan,udara,laut,darat,pandemi,covid,diperhatikan,pemerintah,kebijakan,live,anggota,ombudsman,ri,bidang,transportasi,alvin,lie","kementerian,perhubungan,mengoperasikan,moda,transportasi,angkutan,udara,laut,darat,pandemi,covid,diperhatikan,pemerintah,kebijakan,live,anggota,ombudsman,ri,bidang,transportasi,alvin,lie",positive
"sembilan,sepuluh,pemerintah,indonesia,menuntut,cina,bertanggung,pandemi,covid,cina,negara,sahabat,super","sembilan,sepuluh,pemerintah,indonesia,menuntut,cina,bertanggung,pandemi,covid,cina,negara,sahabat,super",positive
"pemerintah,ngeprioritasin,alokasi,dana,penanganan,covid,biar,normal,masuk,stan,orang,hebat,lulus,aparatur,sipil,negara,bijak,mengerti,keputusan,diambil","pemerintah,ngeprioritasin,alokasi,dana,penanganan,covid,biar,normal,masuk,stan,orang,hebat,lulus,aparatur,sipil,negara,bijak,mengerti,keputusan,diambil",positive
"bumngotongroyong,top,mantappresiden,joko,widodo,jokowi,mengumumkan,pemerintah,menemukan,obat,covid,menyembuhkan,pasien,terinfeksi,virus,corona","bumngotongroyong,top,mantappresiden,joko,widodo,jokowi,mengumumkan,pemerintah,menemukan,obat,covid,menyembuhkan,pasien,terinfeksi,virus,corona",positive
"kemarin,pemerintah,repid,tes,upaya,memperoleh,indikasi,positif,terinfeksi,covid,penanganannya,cepat,dinyatakan,positif,corona,bumngotongroyong,top","kemarin,pemerintah,repid,tes,upaya,memperoleh,indikasi,positif,terinfeksi,covid,penanganannya,cepat,dinyatakan,positif,corona,bumngotongroyong,top",positive
"pemerintah,obat,pasien,covid,avigan,klorokuin,bumngotongroyong,top","pemerintah,obat,pasien,covid,avigan,klorokuin,bumngotongroyong,top",positive
"ditempuh,penyebaran,covid,luas,imbauan,sosial,distancing,beraktivitas,rumah,sisi,pemerintah,mengupayakan,mencari,obat,corona,bumngotongroyong,top","ditempuh,penyebaran,covid,luas,imbauan,sosial,distancing,beraktivitas,rumah,sisi,pemerintah,mengupayakan,mencari,obat,corona,bumngotongroyong,top",positive
"pemerintah,obat,hasil,riset,pengalaman,negara,mengobati,covid,sesuai,resep,dokter,bumngotongroyong,top","pemerintah,obat,hasil,riset,pengalaman,negara,mengobati,covid,sesuai,resep,dokter,bumngotongroyong,top",positive
"salah,langkah,cepat,pemerintah,dilakukannya,tes,cepat,rapid,tes,upaya,mendeteksi,terpapar,virus,corona,penyebab,covid,bumngotongroyong,top","salah,langkah,cepat,pemerintah,dilakukannya,tes,cepat,rapid,tes,upaya,mendeteksi,terpapar,virus,corona,penyebab,covid,bumngotongroyong,top",positive
"pemerintah,langkah,langkah,cepat,menangani,penyebaran,pandemi,covid,melanda,negara,dunia,bumngotongroyong,top","pemerintah,langkah,langkah,cepat,menangani,penyebaran,pandemi,covid,melanda,negara,dunia,bumngotongroyong,top",positive
"pemerintah,lakukan,tes,cepat,siapkan,jutaan,obat,covid,bumngotongroyong,top,mantap","pemerintah,lakukan,tes,cepat,siapkan,jutaan,obat,covid,bumngotongroyong,top,mantap",positive
